experiment,bus,log_name,N,coarse_best_iteration,coarse_best_l2_norm_h,coarse_best_objective_gap_pct,post_best_iteration,post_best_l2_norm_h,post_best_objective_gap_pct,post_final_l2_norm_h,refine_improvement_ratio,refine_improvement_pct
before-multi-beam,2,Buses-2_07-01-2026_22-09-32.txt,10,93,0.0003217558207837212,-0.04644192006186209,96,9.881964090564655e-06,-0.0048658770302016695,9.881964090564655e-06,32.55990588864162,96.92873805157758
coarse only,2,Buses-2_07-06-2026_11-02-21.txt,10,93,0.0003217558207837212,-0.04644192006186209,96,9.881964090564655e-06,-0.0048658770302016695,9.881964090564655e-06,32.55990588864162,96.92873805157758
multi_beam,2,Buses-2_07-03-2026_17-29-20.txt,10,87,0.00031754787860172566,0.04359859825023755,105,9.224392993505778e-06,-0.0011321778974134025,9.224392993505778e-06,34.424799423147725,97.09511742477261
single_beam,2,Buses-2_07-07-2026_21-37-55.txt,1,101,0.0003181019934112303,-0.04366866512245253,101,9.36568670283773e-06,-0.005930007545350168,9.36568670283773e-06,33.96462037480368,97.055759820175
before-multi-beam,3,Buses-3_07-02-2026_15-33-59.txt,10,210,0.0004587794922740823,-0.004476860445565326,307,1.3472046312223461e-05,-0.013309884659840537,1.7518210231781162e-05,34.054180162506,97.06350293788304
coarse only,3,Buses-3_07-06-2026_11-02-23.txt,10,210,0.0004587794922740823,-0.004476860445565326,307,1.3472046312223461e-05,-0.013309884659840537,1.7997473600306888e-05,34.054180162506,97.06350293788304
multi_beam,3,Buses-3_07-03-2026_17-31-49.txt,10,228,0.00047576266792134976,0.015879239217582393,231,2.384519822861639e-06,0.0010722687650829674,2.384519822861639e-06,199.5213725463568,99.4988005609436
single_beam,3,Buses-3_07-07-2026_21-37-55.txt,1,210,0.00045971975114749374,-0.003540021911331076,225,5.539121975804549e-06,-0.004576302477130385,2.1156057271935646e-05,82.99505827017289,98.79510898498955
before-multi-beam,5,Buses-5_07-01-2026_22-11-17.txt,10,105,0.007496735758983525,0.03035765016509668,117,3.235035253903211e-05,-0.0006684075085747353,6.266289086522645e-05,231.73582884261884,99.56847415222998
coarse only,5,Buses-5_07-06-2026_11-02-26.txt,10,105,0.007496735758983525,0.03035765016509668,117,3.235035253903211e-05,-0.0006684075085747353,7.781561870103997e-05,231.73582884261884,99.56847415222998
multi_beam,5,Buses-5_07-03-2026_17-29-25.txt,10,103,0.007404463836115919,0.03220232081455719,122,0.00014958998118820557,-0.012378311920299997,0.00014958998118820557,49.498394058891186,97.97973243574279
single_beam,5,Buses-5_07-07-2026_21-37-59.txt,1,188,0.007365973841695855,-0.06819404853548497,258,1.531206587137995e-05,-0.0008153056640613677,3.271899651736687e-05,481.056828227452,99.79212435177675
before-multi-beam,9,Buses-9_07-01-2026_22-11-18.txt,10,56,0.0023121167976338382,0.01355247448514356,59,0.00042289364687599497,0.025441972497673583,0.00042289364687599497,5.467371795991581,81.70967628846546
coarse only,9,Buses-9_07-06-2026_11-02-29.txt,10,56,0.0023121167976338382,0.01355247448514356,59,0.00042289364687599497,0.025441972497673583,0.00042289364687599497,5.467371795991581,81.70967628846546
multi_beam,9,Buses-9_07-03-2026_17-29-29.txt,10,52,0.002273541749583674,-0.0734608741334197,59,0.0004373476225257805,0.022425811695804262,0.0004373476225257805,5.198477441019254,80.76359835459954
single_beam,9,Buses-9_07-07-2026_21-38-05.txt,1,108,0.0014603596466220136,0.055418842800228595,81,0.0001401245041974862,0.05891335889249721,0.0002933978685376025,10.421871998660832,90.40479483792839
